-99, 44
-192, -81
-74, -139
88, 10
101, 27
-145, -130
108, 130
-179, -79
196, 137
93, 83
76, 108
-5, -146
-4, 127
0, -198
34, 127
4, -116
86, 4
-39, 122
39, 86
-6, -194
126, -19
100, 19
143, 9
-35, -165
86, -167
-192, 154
-92, -200
-96, 154
105, -2
92, 144
-38, 87
163, 144
175, -57
-99, -15
7, 155
48, -27
-16, -133
-39, 24
69, -50
146, 52
2, -171
-2, -134
-170, 129
-148, 146
-67, -181
-138, 115
-67, -131
-9, 119
112, 120
196, -122
73, 6
41, 172
193, -58
184, 74
160, -131
-118, 75
193, 55
-129, 65
109, 118
-107, -64
-128, 55
99, 126
-164, -168
-2, -18
28, 178
-37, 58
-128, 124
71, -69
145, -25
-167, -166
80, 82
-51, -90
-12, -185
-15, 179
103, -39
-18, 186
-48, -28
-141, 77
-14, -22
-158, 184
-74, 155
3, -44
-109, -107
-68, 82
-167, 10
-147, 5
-27, -132
30, -24
181, 196
179, -124
-106, 173
-99, -46
-73, 17
11, 79
-162, 199
-169, 9
-47, -192
-80, -36
-130, 42
-149, 76
-22, 168
-79, 113
49, 158
7, 40
68, 21
48, 134
27, -54
-163, -6
-59, 149
-185, 190
-195, 81
107, 195
41, 41
-145, 38
-72, 25
127, -151
-129, 42
-135, 27
136, 97
188, 134
27, 89
107, -92
182, -103
-134, -82
-55, -84
135, 25
4, -14
-138, 33
-182, -56
-130, -95
107, -7
-142, -146
11, 155
153, 150
33, 200
-127, -94
-29, 134
78, 167
-158, 137
164, 197
-50, -108
-9, 64
192, 154
95, 161
-119, -150
-101, 139
90, -52
-129, -79
52, -72
146, 5
-33, 153
29, 187
118, -81
138, -33
-116, 0
-86, -137
93, 42
180, 190
157, -47
-170, 42
-13, -50
-163, -179
-108, 146
-94, 87
97, -64
174, 68
-101, 179
-193, 12
-15, 44
-196, 78
-100, -58
-66, -168
145, 19
69, 65
-183, 131
-75, -59
-144, -67
79, 79
9, -80
147, -177
63, -48
138, -125
-124, 104
181, -98
171, 97
137, 16
-16, -145
62, -26
-79, -175
21, 150
-4, -128
144, -58
-68, 14
151, 99
-151, 164
9, 2
-99, 12
-160, -15
-110, -116
69, -170
-148, -51
22, 137
-32, -84
-1, -143
-85, -166
-196, 138
127, -137
151, -115
116, 149
-35, 163
51, 13
-130, 86
-1, 146
62, 53
-41, 21
-16, 102
192, -65
196, 38
107, 78
-46, 56
-22, 152
189, -43
-14, -87
-118, -140
-165, -120
192, -66
129, 30
55, -173
-26, -42
-142, -180
164, -186
-110, 193
8, -147
-131, 94
35, 195
177, -112
68, 78
-101, 44
-147, -107
-174, 114
-196, -48
-179, -7
58, -23
150, -150
6, -113
-69, -130
43, -80
-131, -41
-77, -200
115, -25
10, 5
78, 151
-97, -10
-62, -123
76, 126
